iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(23, 6)",,,"[(23, 7) via North, (22, 6) via West]","[(23, 6):27]","[(22, 6):27, (23, 7):29]",[],0,27,27
2,"(22, 6)","(23, 6)",West,"[(21, 6) via West]","[(22, 6):27, (23, 7):29]","[(21, 6):27, (23, 7):29]","[(23, 6)]",1,26,27
3,"(21, 6)","(22, 6)",West,"[(20, 6) via West]","[(21, 6):27, (23, 7):29]","[(20, 6):27, (23, 7):29]","[(23, 6), (22, 6)]",2,25,27
4,"(20, 6)","(21, 6)",West,"[(19, 6) via West]","[(20, 6):27, (23, 7):29]","[(19, 6):27, (23, 7):29]","[(23, 6), (22, 6), (21, 6)]",3,24,27
5,"(19, 6)","(20, 6)",West,"[(19, 5) via South, (18, 6) via West]","[(19, 6):27, (23, 7):29]","[(19, 5):27, (18, 6):27, (23, 7):29]","[(23, 6), (22, 6), (21, 6), (20, 6)]",4,23,27
6,"(19, 5)","(19, 6)",South,"[(19, 4) via South]","[(19, 5):27, (18, 6):27, (23, 7):29]","[(18, 6):27, (19, 4):27, (23, 7):29]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6)]",5,22,27
7,"(18, 6)","(19, 6)",West,"[(17, 6) via West]","[(18, 6):27, (19, 4):27, (23, 7):29]","[(19, 4):27, (17, 6):27, (23, 7):29]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5)]",5,22,27
8,"(19, 4)","(19, 5)",South,"[(19, 3) via South, (18, 4) via West]","[(19, 4):27, (17, 6):27, (23, 7):29]","[(17, 6):27, (19, 3):27, (18, 4):27, (23, 7):29]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (18, 6)]",6,21,27
9,"(17, 6)","(18, 6)",West,"[(16, 6) via West]","[(17, 6):27, (19, 3):27, (18, 4):27, (23, 7):29]","[(19, 3):27, (18, 4):27, (16, 6):27, (23, 7):29]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (18, 6), (19, 4)]",6,21,27
10,"(19, 3)","(19, 4)",South,[],"[(19, 3):27, (18, 4):27, (16, 6):27, (23, 7):29]","[(18, 4):27, (16, 6):27, (23, 7):29]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (18, 6), (19, 4), (17, 6)]",7,20,27
11,"(18, 4)","(19, 4)",West,"[(17, 4) via West]","[(18, 4):27, (16, 6):27, (23, 7):29]","[(16, 6):27, (17, 4):27, (23, 7):29]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (18, 6), (19, 4), (17, 6), (19, 3)]",7,20,27
12,"(16, 6)","(17, 6)",West,"[(16, 7) via North, (15, 6) via West]","[(16, 6):27, (17, 4):27, (23, 7):29]","[(17, 4):27, (15, 6):27, (23, 7):29, (16, 7):29]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (18, 6), (19, 4), (17, 6), (19, 3), (18, 4)]",7,20,27
13,"(17, 4)","(18, 4)",West,"[(16, 4) via West]","[(17, 4):27, (15, 6):27, (23, 7):29, (16, 7):29]","[(15, 6):27, (16, 4):27, (23, 7):29, (16, 7):29]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (18, 6), (19, 4), (17, 6), (19, 3), (18, 4), (16, 6)]",8,19,27
14,"(15, 6)","(16, 6)",West,"[(14, 6) via West]","[(15, 6):27, (16, 4):27, (23, 7):29, (16, 7):29]","[(16, 4):27, (14, 6):27, (23, 7):29, (16, 7):29]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (18, 6), (19, 4), (17, 6), (19, 3), (18, 4), (16, 6), (17, 4)]",8,19,27
15,"(16, 4)","(17, 4)",West,"[(15, 4) via West]","[(16, 4):27, (14, 6):27, (23, 7):29, (16, 7):29]","[(14, 6):27, (15, 4):27, (23, 7):29, (16, 7):29]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (18, 6), (19, 4), (17, 6), (19, 3), (18, 4), (16, 6), (17, 4), (15, 6)]",9,18,27
