iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(15, 1)",,,"[(16, 1) via East, (14, 1) via West]","[(15, 1)]","[(16, 1), (14, 1)]",[],0,0,0
2,"(16, 1)","(15, 1)",East,[],"[(16, 1), (14, 1)]","[(14, 1)]","[(15, 1)]",1,0,1
3,"(16, 1)",,,"[(17, 1) via East, (15, 1) via West]","[(16, 1)]","[(17, 1), (15, 1)]",[],0,0,0
4,"(17, 1)","(16, 1)",East,[],"[(17, 1), (15, 1)]","[(15, 1)]","[(16, 1)]",1,0,1
5,"(17, 1)",,,"[(18, 1) via East, (16, 1) via West]","[(17, 1)]","[(18, 1), (16, 1)]",[],0,0,0
6,"(18, 1)","(17, 1)",East,[],"[(18, 1), (16, 1)]","[(16, 1)]","[(17, 1)]",1,0,1
7,"(18, 1)",,,"[(19, 1) via East, (17, 1) via West]","[(18, 1)]","[(19, 1), (17, 1)]",[],0,0,0
8,"(19, 1)","(18, 1)",East,[],"[(19, 1), (17, 1)]","[(17, 1)]","[(18, 1)]",1,0,1
9,"(19, 1)",,,"[(19, 2) via North, (18, 1) via West]","[(19, 1)]","[(19, 2), (18, 1)]",[],0,0,0
10,"(19, 2)","(19, 1)",North,[],"[(19, 2), (18, 1)]","[(18, 1)]","[(19, 1)]",1,0,1
11,"(19, 2)",,,"[(19, 3) via North, (19, 1) via South]","[(19, 2)]","[(19, 3), (19, 1)]",[],0,0,0
12,"(19, 3)","(19, 2)",North,[],"[(19, 3), (19, 1)]","[(19, 1)]","[(19, 2)]",1,0,1
13,"(19, 3)",,,"[(19, 2) via South, (20, 3) via East, (18, 3) via West]","[(19, 3)]","[(19, 2), (20, 3), (18, 3)]",[],0,0,0
14,"(19, 2)","(19, 3)",South,"[(19, 1) via South]","[(19, 2), (20, 3), (18, 3)]","[(20, 3), (18, 3), (19, 1)]","[(19, 3)]",1,0,1
15,"(20, 3)","(19, 3)",East,[],"[(20, 3), (18, 3), (19, 1)]","[(18, 3), (19, 1)]","[(19, 3), (19, 2)]",1,0,1
16,"(20, 3)",,,"[(21, 3) via East, (19, 3) via West]","[(20, 3)]","[(21, 3), (19, 3)]",[],0,0,0
17,"(21, 3)","(20, 3)",East,[],"[(21, 3), (19, 3)]","[(19, 3)]","[(20, 3)]",1,0,1
18,"(21, 3)",,,"[(21, 4) via North, (20, 3) via West]","[(21, 3)]","[(21, 4), (20, 3)]",[],0,0,0
19,"(21, 4)","(21, 3)",North,[],"[(21, 4), (20, 3)]","[(20, 3)]","[(21, 3)]",1,0,1
