iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(23, 6)",,,"[(22, 6) via West, (23, 7) via North]","[(23, 6)]","[(23, 7), (22, 6)]",[],0,0,0
2,"(23, 7)","(23, 6)",North,"[(23, 8) via North]","[(23, 7), (22, 6)]","[(23, 8), (22, 6)]","[(23, 6)]",1,0,1
3,"(23, 8)","(23, 7)",North,"[(23, 9) via North]","[(23, 8), (22, 6)]","[(23, 9), (22, 6)]","[(23, 6), (23, 7)]",2,0,2
4,"(23, 9)","(23, 8)",North,"[(23, 10) via North]","[(23, 9), (22, 6)]","[(23, 10), (22, 6)]","[(23, 6), (23, 7), (23, 8)]",3,0,3
5,"(23, 10)","(23, 9)",North,"[(23, 11) via North]","[(23, 10), (22, 6)]","[(23, 11), (22, 6)]","[(23, 6), (23, 7), (23, 8), (23, 9)]",4,0,4
6,"(23, 11)","(23, 10)",North,"[(22, 11) via West]","[(23, 11), (22, 6)]","[(22, 11), (22, 6)]","[(23, 6), (23, 7), (23, 8), (23, 9), (23, 10)]",5,0,5
7,"(22, 11)","(23, 11)",West,"[(21, 11) via West]","[(22, 11), (22, 6)]","[(21, 11), (22, 6)]","[(23, 6), (23, 7), (23, 8), (23, 9), (23, 10), (23, 11)]",6,0,6
8,"(21, 11)","(22, 11)",West,"[(20, 11) via West]","[(21, 11), (22, 6)]","[(20, 11), (22, 6)]","[(23, 6), (23, 7), (23, 8), (23, 9), (23, 10), (23, 11), (22, 11)]",7,0,7
9,"(20, 11)","(21, 11)",West,"[(19, 11) via West]","[(20, 11), (22, 6)]","[(19, 11), (22, 6)]","[(23, 6), (23, 7), (23, 8), (23, 9), (23, 10), (23, 11), (22, 11), (21, 11)]",8,0,8
10,"(19, 11)","(20, 11)",West,"[(18, 11) via West]","[(19, 11), (22, 6)]","[(18, 11), (22, 6)]","[(23, 6), (23, 7), (23, 8), (23, 9), (23, 10), (23, 11), (22, 11), (21, 11), (20, 11)]",9,0,9
