iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(23, 6)",,,"[(23, 7) via North, (22, 6) via West]","[(23, 6):27]","[(22, 6):26, (23, 7):28]",[],0,27,27
2,"(22, 6)","(23, 6)",West,"[(21, 6) via West]","[(22, 6):26, (23, 7):28]","[(21, 6):25, (23, 7):28]","[(23, 6)]",1,26,26
3,"(21, 6)","(22, 6)",West,"[(20, 6) via West]","[(21, 6):25, (23, 7):28]","[(20, 6):24, (23, 7):28]","[(23, 6), (22, 6)]",2,25,25
4,"(20, 6)","(21, 6)",West,"[(19, 6) via West]","[(20, 6):24, (23, 7):28]","[(19, 6):23, (23, 7):28]","[(23, 6), (22, 6), (21, 6)]",3,24,24
5,"(19, 6)","(20, 6)",West,"[(19, 5) via South, (18, 6) via West]","[(19, 6):23, (23, 7):28]","[(19, 5):22, (18, 6):22, (23, 7):28]","[(23, 6), (22, 6), (21, 6), (20, 6)]",4,23,23
6,"(19, 5)","(19, 6)",South,"[(19, 4) via South]","[(19, 5):22, (18, 6):22, (23, 7):28]","[(19, 4):21, (18, 6):22, (23, 7):28]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6)]",5,22,22
7,"(19, 4)","(19, 5)",South,"[(19, 3) via South, (18, 4) via West]","[(19, 4):21, (18, 6):22, (23, 7):28]","[(19, 3):20, (18, 4):20, (18, 6):22, (23, 7):28]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5)]",6,21,21
8,"(19, 3)","(19, 4)",South,[],"[(19, 3):20, (18, 4):20, (18, 6):22, (23, 7):28]","[(18, 4):20, (18, 6):22, (23, 7):28]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (19, 4)]",7,20,20
9,"(18, 4)","(19, 4)",West,"[(17, 4) via West]","[(18, 4):20, (18, 6):22, (23, 7):28]","[(17, 4):19, (18, 6):22, (23, 7):28]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (19, 4), (19, 3)]",7,20,20
10,"(17, 4)","(18, 4)",West,"[(16, 4) via West]","[(17, 4):19, (18, 6):22, (23, 7):28]","[(16, 4):18, (18, 6):22, (23, 7):28]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (19, 4), (19, 3), (18, 4)]",8,19,19
