iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(23, 6)",,,"[(23, 7) via North, (22, 6) via West]","[(23, 6):0]","[(23, 7):1, (22, 6):1]",[],0,0,0
2,"(23, 7)","(23, 6)",North,"[(23, 8) via North]","[(23, 7):1, (22, 6):1]","[(22, 6):1, (23, 8):2]","[(23, 6)]",1,0,1
3,"(22, 6)","(23, 6)",West,"[(21, 6) via West]","[(22, 6):1, (23, 8):2]","[(23, 8):2, (21, 6):2]","[(23, 6), (23, 7)]",1,0,1
4,"(23, 8)","(23, 7)",North,"[(23, 9) via North]","[(23, 8):2, (21, 6):2]","[(21, 6):2, (23, 9):3]","[(23, 6), (23, 7), (22, 6)]",2,0,2
5,"(21, 6)","(22, 6)",West,"[(20, 6) via West]","[(21, 6):2, (23, 9):3]","[(23, 9):3, (20, 6):3]","[(23, 6), (23, 7), (22, 6), (23, 8)]",2,0,2
6,"(23, 9)","(23, 8)",North,"[(23, 10) via North]","[(23, 9):3, (20, 6):3]","[(20, 6):3, (23, 10):4]","[(23, 6), (23, 7), (22, 6), (23, 8), (21, 6)]",3,0,3
7,"(20, 6)","(21, 6)",West,"[(19, 6) via West]","[(20, 6):3, (23, 10):4]","[(23, 10):4, (19, 6):4]","[(23, 6), (23, 7), (22, 6), (23, 8), (21, 6), (23, 9)]",3,0,3
8,"(23, 10)","(23, 9)",North,"[(23, 11) via North]","[(23, 10):4, (19, 6):4]","[(19, 6):4, (23, 11):5]","[(23, 6), (23, 7), (22, 6), (23, 8), (21, 6), (23, 9), (20, 6)]",4,0,4
9,"(19, 6)","(20, 6)",West,"[(19, 5) via South, (18, 6) via West]","[(19, 6):4, (23, 11):5]","[(23, 11):5, (19, 5):5, (18, 6):5]","[(23, 6), (23, 7), (22, 6), (23, 8), (21, 6), (23, 9), (20, 6), (23, 10)]",4,0,4
10,"(23, 11)","(23, 10)",North,"[(22, 11) via West]","[(23, 11):5, (19, 5):5, (18, 6):5]","[(19, 5):5, (18, 6):5, (22, 11):6]","[(23, 6), (23, 7), (22, 6), (23, 8), (21, 6), (23, 9), (20, 6), (23, 10), (19, 6)]",5,0,5
11,"(19, 5)","(19, 6)",South,"[(19, 4) via South]","[(19, 5):5, (18, 6):5, (22, 11):6]","[(18, 6):5, (22, 11):6, (19, 4):6]","[(23, 6), (23, 7), (22, 6), (23, 8), (21, 6), (23, 9), (20, 6), (23, 10), (19, 6), (23, 11)]",5,0,5
12,"(18, 6)","(19, 6)",West,"[(17, 6) via West]","[(18, 6):5, (22, 11):6, (19, 4):6]","[(22, 11):6, (19, 4):6, (17, 6):6]","[(23, 6), (23, 7), (22, 6), (23, 8), (21, 6), (23, 9), (20, 6), (23, 10), (19, 6), (23, 11), (19, 5)]",5,0,5
13,"(22, 11)","(23, 11)",West,"[(21, 11) via West]","[(22, 11):6, (19, 4):6, (17, 6):6]","[(19, 4):6, (17, 6):6, (21, 11):7]","[(23, 6), (23, 7), (22, 6), (23, 8), (21, 6), (23, 9), (20, 6), (23, 10), (19, 6), (23, 11), (19, 5), (18, 6)]",6,0,6
14,"(19, 4)","(19, 5)",South,"[(19, 3) via South, (18, 4) via West]","[(19, 4):6, (17, 6):6, (21, 11):7]","[(17, 6):6, (21, 11):7, (19, 3):7, (18, 4):7]","[(23, 6), (23, 7), (22, 6), (23, 8), (21, 6), (23, 9), (20, 6), (23, 10), (19, 6), (23, 11), (19, 5), (18, 6), (22, 11)]",6,0,6
15,"(17, 6)","(18, 6)",West,"[(16, 6) via West]","[(17, 6):6, (21, 11):7, (19, 3):7, (18, 4):7]","[(21, 11):7, (19, 3):7, (18, 4):7, (16, 6):7]","[(23, 6), (23, 7), (22, 6), (23, 8), (21, 6), (23, 9), (20, 6), (23, 10), (19, 6), (23, 11), (19, 5), (18, 6), (22, 11), (19, 4)]",6,0,6
16,"(21, 11)","(22, 11)",West,"[(20, 11) via West]","[(21, 11):7, (19, 3):7, (18, 4):7, (16, 6):7]","[(19, 3):7, (18, 4):7, (16, 6):7, (20, 11):8]","[(23, 6), (23, 7), (22, 6), (23, 8), (21, 6), (23, 9), (20, 6), (23, 10), (19, 6), (23, 11), (19, 5), (18, 6), (22, 11), (19, 4), (17, 6)]",7,0,7
17,"(19, 3)","(19, 4)",South,[],"[(19, 3):7, (18, 4):7, (16, 6):7, (20, 11):8]","[(18, 4):7, (16, 6):7, (20, 11):8]","[(23, 6), (23, 7), (22, 6), (23, 8), (21, 6), (23, 9), (20, 6), (23, 10), (19, 6), (23, 11), (19, 5), (18, 6), (22, 11), (19, 4), (17, 6), (21, 11)]",7,0,7
18,"(18, 4)","(19, 4)",West,"[(17, 4) via West]","[(18, 4):7, (16, 6):7, (20, 11):8]","[(16, 6):7, (20, 11):8, (17, 4):8]","[(23, 6), (23, 7), (22, 6), (23, 8), (21, 6), (23, 9), (20, 6), (23, 10), (19, 6), (23, 11), (19, 5), (18, 6), (22, 11), (19, 4), (17, 6), (21, 11), (19, 3)]",7,0,7
19,"(16, 6)","(17, 6)",West,"[(16, 7) via North, (15, 6) via West]","[(16, 6):7, (20, 11):8, (17, 4):8]","[(20, 11):8, (17, 4):8, (16, 7):8, (15, 6):8]","[(23, 6), (23, 7), (22, 6), (23, 8), (21, 6), (23, 9), (20, 6), (23, 10), (19, 6), (23, 11), (19, 5), (18, 6), (22, 11), (19, 4), (17, 6), (21, 11), (19, 3), (18, 4)]",7,0,7
20,"(20, 11)","(21, 11)",West,"[(19, 11) via West]","[(20, 11):8, (17, 4):8, (16, 7):8, (15, 6):8]","[(17, 4):8, (16, 7):8, (15, 6):8, (19, 11):9]","[(23, 6), (23, 7), (22, 6), (23, 8), (21, 6), (23, 9), (20, 6), (23, 10), (19, 6), (23, 11), (19, 5), (18, 6), (22, 11), (19, 4), (17, 6), (21, 11), (19, 3), (18, 4), (16, 6)]",8,0,8
21,"(17, 4)","(18, 4)",West,"[(16, 4) via West]","[(17, 4):8, (16, 7):8, (15, 6):8, (19, 11):9]","[(16, 7):8, (15, 6):8, (19, 11):9, (16, 4):9]","[(23, 6), (23, 7), (22, 6), (23, 8), (21, 6), (23, 9), (20, 6), (23, 10), (19, 6), (23, 11), (19, 5), (18, 6), (22, 11), (19, 4), (17, 6), (21, 11), (19, 3), (18, 4), (16, 6), (20, 11)]",8,0,8
22,"(16, 7)","(16, 6)",North,"[(16, 8) via North]","[(16, 7):8, (15, 6):8, (19, 11):9, (16, 4):9]","[(15, 6):8, (19, 11):9, (16, 4):9, (16, 8):9]","[(23, 6), (23, 7), (22, 6), (23, 8), (21, 6), (23, 9), (20, 6), (23, 10), (19, 6), (23, 11), (19, 5), (18, 6), (22, 11), (19, 4), (17, 6), (21, 11), (19, 3), (18, 4), (16, 6), (20, 11), (17, 4)]",8,0,8
23,"(15, 6)","(16, 6)",West,"[(14, 6) via West]","[(15, 6):8, (19, 11):9, (16, 4):9, (16, 8):9]","[(19, 11):9, (16, 4):9, (16, 8):9, (14, 6):9]","[(23, 6), (23, 7), (22, 6), (23, 8), (21, 6), (23, 9), (20, 6), (23, 10), (19, 6), (23, 11), (19, 5), (18, 6), (22, 11), (19, 4), (17, 6), (21, 11), (19, 3), (18, 4), (16, 6), (20, 11), (17, 4), (16, 7)]",8,0,8
24,"(19, 11)","(20, 11)",West,"[(18, 11) via West]","[(19, 11):9, (16, 4):9, (16, 8):9, (14, 6):9]","[(16, 4):9, (16, 8):9, (14, 6):9, (18, 11):10]","[(23, 6), (23, 7), (22, 6), (23, 8), (21, 6), (23, 9), (20, 6), (23, 10), (19, 6), (23, 11), (19, 5), (18, 6), (22, 11), (19, 4), (17, 6), (21, 11), (19, 3), (18, 4), (16, 6), (20, 11), (17, 4), (16, 7), (15, 6)]",9,0,9
25,"(16, 4)","(17, 4)",West,"[(15, 4) via West]","[(16, 4):9, (16, 8):9, (14, 6):9, (18, 11):10]","[(16, 8):9, (14, 6):9, (18, 11):10, (15, 4):10]","[(23, 6), (23, 7), (22, 6), (23, 8), (21, 6), (23, 9), (20, 6), (23, 10), (19, 6), (23, 11), (19, 5), (18, 6), (22, 11), (19, 4), (17, 6), (21, 11), (19, 3), (18, 4), (16, 6), (20, 11), (17, 4), (16, 7), (15, 6), (19, 11)]",9,0,9
26,"(16, 8)","(16, 7)",North,"[(16, 9) via North]","[(16, 8):9, (14, 6):9, (18, 11):10, (15, 4):10]","[(14, 6):9, (18, 11):10, (15, 4):10, (16, 9):10]","[(23, 6), (23, 7), (22, 6), (23, 8), (21, 6), (23, 9), (20, 6), (23, 10), (19, 6), (23, 11), (19, 5), (18, 6), (22, 11), (19, 4), (17, 6), (21, 11), (19, 3), (18, 4), (16, 6), (20, 11), (17, 4), (16, 7), (15, 6), (19, 11), (16, 4)]",9,0,9
