iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(1, 15)",,,"[(1, 14) via South, (2, 15) via East]","[(1, 15):0]","[(1, 14):1, (2, 15):1]",[],0,0,0
2,"(1, 14)","(1, 15)",South,"[(1, 13) via South]","[(1, 14):1, (2, 15):1]","[(2, 15):1, (1, 13):2]","[(1, 15)]",1,0,1
3,"(2, 15)","(1, 15)",East,"[(3, 15) via East]","[(2, 15):1, (1, 13):2]","[(1, 13):2, (3, 15):2]","[(1, 15), (1, 14)]",1,0,1
4,"(1, 13)","(1, 14)",South,"[(1, 12) via South]","[(1, 13):2, (3, 15):2]","[(3, 15):2, (1, 12):3]","[(1, 15), (1, 14), (2, 15)]",2,0,2
5,"(3, 15)","(2, 15)",East,"[(4, 15) via East]","[(3, 15):2, (1, 12):3]","[(1, 12):3, (4, 15):3]","[(1, 15), (1, 14), (2, 15), (1, 13)]",2,0,2
6,"(1, 12)","(1, 13)",South,"[(1, 11) via South]","[(1, 12):3, (4, 15):3]","[(4, 15):3, (1, 11):4]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15)]",3,0,3
7,"(4, 15)","(3, 15)",East,"[(5, 15) via East]","[(4, 15):3, (1, 11):4]","[(1, 11):4, (5, 15):4]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12)]",3,0,3
8,"(1, 11)","(1, 12)",South,"[(2, 11) via East]","[(1, 11):4, (5, 15):4]","[(5, 15):4, (2, 11):5]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15)]",4,0,4
9,"(5, 15)","(4, 15)",East,"[(5, 14) via South]","[(5, 15):4, (2, 11):5]","[(2, 11):5, (5, 14):5]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11)]",4,0,4
10,"(2, 11)","(1, 11)",East,"[(3, 11) via East]","[(2, 11):5, (5, 14):5]","[(5, 14):5, (3, 11):6]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11), (5, 15)]",5,0,5
11,"(5, 14)","(5, 15)",South,"[(5, 13) via South]","[(5, 14):5, (3, 11):6]","[(3, 11):6, (5, 13):6]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11), (5, 15), (2, 11)]",5,0,5
12,"(3, 11)","(2, 11)",East,"[(3, 12) via North, (3, 10) via South]","[(3, 11):6, (5, 13):6]","[(5, 13):6, (3, 12):7, (3, 10):7]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11), (5, 15), (2, 11), (5, 14)]",6,0,6
13,"(5, 13)","(5, 14)",South,"[(6, 13) via East]","[(5, 13):6, (3, 12):7, (3, 10):7]","[(3, 12):7, (3, 10):7, (6, 13):7]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11), (5, 15), (2, 11), (5, 14), (3, 11)]",6,0,6
14,"(3, 12)","(3, 11)",North,"[(3, 13) via North]","[(3, 12):7, (3, 10):7, (6, 13):7]","[(3, 10):7, (6, 13):7, (3, 13):8]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11), (5, 15), (2, 11), (5, 14), (3, 11), (5, 13)]",7,0,7
15,"(3, 10)","(3, 11)",South,"[(3, 9) via South]","[(3, 10):7, (6, 13):7, (3, 13):8]","[(6, 13):7, (3, 13):8, (3, 9):8]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11), (5, 15), (2, 11), (5, 14), (3, 11), (5, 13), (3, 12)]",7,0,7
16,"(6, 13)","(5, 13)",East,"[(7, 13) via East]","[(6, 13):7, (3, 13):8, (3, 9):8]","[(3, 13):8, (3, 9):8, (7, 13):8]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11), (5, 15), (2, 11), (5, 14), (3, 11), (5, 13), (3, 12), (3, 10)]",7,0,7
17,"(3, 13)","(3, 12)",North,[],"[(3, 13):8, (3, 9):8, (7, 13):8]","[(3, 9):8, (7, 13):8]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11), (5, 15), (2, 11), (5, 14), (3, 11), (5, 13), (3, 12), (3, 10), (6, 13)]",8,0,8
18,"(3, 9)","(3, 10)",South,"[(2, 9) via West]","[(3, 9):8, (7, 13):8]","[(7, 13):8, (2, 9):9]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11), (5, 15), (2, 11), (5, 14), (3, 11), (5, 13), (3, 12), (3, 10), (6, 13), (3, 13)]",8,0,8
19,"(7, 13)","(6, 13)",East,"[(7, 14) via North, (7, 12) via South]","[(7, 13):8, (2, 9):9]","[(2, 9):9, (7, 14):9, (7, 12):9]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11), (5, 15), (2, 11), (5, 14), (3, 11), (5, 13), (3, 12), (3, 10), (6, 13), (3, 13), (3, 9)]",8,0,8
20,"(2, 9)","(3, 9)",West,"[(1, 9) via West]","[(2, 9):9, (7, 14):9, (7, 12):9]","[(7, 14):9, (7, 12):9, (1, 9):10]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11), (5, 15), (2, 11), (5, 14), (3, 11), (5, 13), (3, 12), (3, 10), (6, 13), (3, 13), (3, 9), (7, 13)]",9,0,9
21,"(7, 14)","(7, 13)",North,"[(7, 15) via North]","[(7, 14):9, (7, 12):9, (1, 9):10]","[(7, 12):9, (1, 9):10, (7, 15):10]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11), (5, 15), (2, 11), (5, 14), (3, 11), (5, 13), (3, 12), (3, 10), (6, 13), (3, 13), (3, 9), (7, 13), (2, 9)]",9,0,9
22,"(7, 12)","(7, 13)",South,"[(7, 11) via South]","[(7, 12):9, (1, 9):10, (7, 15):10]","[(1, 9):10, (7, 15):10, (7, 11):10]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11), (5, 15), (2, 11), (5, 14), (3, 11), (5, 13), (3, 12), (3, 10), (6, 13), (3, 13), (3, 9), (7, 13), (2, 9), (7, 14)]",9,0,9
23,"(1, 9)","(2, 9)",West,"[(1, 8) via South]","[(1, 9):10, (7, 15):10, (7, 11):10]","[(7, 15):10, (7, 11):10, (1, 8):11]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11), (5, 15), (2, 11), (5, 14), (3, 11), (5, 13), (3, 12), (3, 10), (6, 13), (3, 13), (3, 9), (7, 13), (2, 9), (7, 14), (7, 12)]",10,0,10
24,"(7, 15)","(7, 14)",North,"[(8, 15) via East]","[(7, 15):10, (7, 11):10, (1, 8):11]","[(7, 11):10, (1, 8):11, (8, 15):11]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11), (5, 15), (2, 11), (5, 14), (3, 11), (5, 13), (3, 12), (3, 10), (6, 13), (3, 13), (3, 9), (7, 13), (2, 9), (7, 14), (7, 12), (1, 9)]",10,0,10
25,"(7, 11)","(7, 12)",South,"[(6, 11) via West]","[(7, 11):10, (1, 8):11, (8, 15):11]","[(1, 8):11, (8, 15):11, (6, 11):11]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11), (5, 15), (2, 11), (5, 14), (3, 11), (5, 13), (3, 12), (3, 10), (6, 13), (3, 13), (3, 9), (7, 13), (2, 9), (7, 14), (7, 12), (1, 9), (7, 15)]",10,0,10
