iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(34, 16)",,,"[(34, 15) via South, (33, 16) via West]","[(34, 16):0]","[(34, 15):5.820766091346741e-11, (33, 16):1.1641532182693481e-10]",[],0,0,0
2,"(34, 15)","(34, 16)",South,"[(34, 14) via South]","[(34, 15):5.820766091346741e-11, (33, 16):1.1641532182693481e-10]","[(33, 16):1.1641532182693481e-10, (34, 14):1.1641532182693481e-10]","[(34, 16)]",5.820766091346741e-11,0,5.820766091346741e-11
3,"(33, 16)","(34, 16)",West,"[(32, 16) via West]","[(33, 16):1.1641532182693481e-10, (34, 14):1.1641532182693481e-10]","[(34, 14):1.1641532182693481e-10, (32, 16):3.4924596548080444e-10]","[(34, 16), (34, 15)]",1.1641532182693481e-10,0,1.1641532182693481e-10
4,"(34, 14)","(34, 15)",South,"[(33, 14) via West]","[(34, 14):1.1641532182693481e-10, (32, 16):3.4924596548080444e-10]","[(33, 14):2.3283064365386963e-10, (32, 16):3.4924596548080444e-10]","[(34, 16), (34, 15), (33, 16)]",1.1641532182693481e-10,0,1.1641532182693481e-10
5,"(33, 14)","(34, 14)",West,"[(32, 14) via West]","[(33, 14):2.3283064365386963e-10, (32, 16):3.4924596548080444e-10]","[(32, 16):3.4924596548080444e-10, (32, 14):4.656612873077393e-10]","[(34, 16), (34, 15), (33, 16), (34, 14)]",2.3283064365386963e-10,0,2.3283064365386963e-10
6,"(32, 16)","(33, 16)",West,"[(31, 16) via West]","[(32, 16):3.4924596548080444e-10, (32, 14):4.656612873077393e-10]","[(32, 14):4.656612873077393e-10, (31, 16):8.149072527885437e-10]","[(34, 16), (34, 15), (33, 16), (34, 14), (33, 14)]",3.4924596548080444e-10,0,3.4924596548080444e-10
7,"(32, 14)","(33, 14)",West,"[(31, 14) via West]","[(32, 14):4.656612873077393e-10, (31, 16):8.149072527885437e-10]","[(31, 16):8.149072527885437e-10, (31, 14):9.313225746154785e-10]","[(34, 16), (34, 15), (33, 16), (34, 14), (33, 14), (32, 16)]",4.656612873077393e-10,0,4.656612873077393e-10
8,"(31, 16)","(32, 16)",West,"[(30, 16) via West]","[(31, 16):8.149072527885437e-10, (31, 14):9.313225746154785e-10]","[(31, 14):9.313225746154785e-10, (30, 16):1.7462298274040222e-09]","[(34, 16), (34, 15), (33, 16), (34, 14), (33, 14), (32, 16), (32, 14)]",8.149072527885437e-10,0,8.149072527885437e-10
9,"(31, 14)","(32, 14)",West,"[(30, 14) via West]","[(31, 14):9.313225746154785e-10, (30, 16):1.7462298274040222e-09]","[(30, 16):1.7462298274040222e-09, (30, 14):1.862645149230957e-09]","[(34, 16), (34, 15), (33, 16), (34, 14), (33, 14), (32, 16), (32, 14), (31, 16)]",9.313225746154785e-10,0,9.313225746154785e-10
10,"(30, 16)","(31, 16)",West,"[(29, 16) via West]","[(30, 16):1.7462298274040222e-09, (30, 14):1.862645149230957e-09]","[(30, 14):1.862645149230957e-09, (29, 16):3.6088749766349792e-09]","[(34, 16), (34, 15), (33, 16), (34, 14), (33, 14), (32, 16), (32, 14), (31, 16), (31, 14)]",1.7462298274040222e-09,0,1.7462298274040222e-09
