iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(23, 2)",,,"[(24, 2) via East, (22, 2) via West]","[(23, 2):0]","[(24, 2):1, (22, 2):1]",[],0,0,0
2,"(24, 2)","(23, 2)",East,"[(24, 3) via North]","[(24, 2):1, (22, 2):1]","[(22, 2):1, (24, 3):2]","[(23, 2)]",1,0,1
3,"(22, 2)","(23, 2)",West,"[(21, 2) via West]","[(22, 2):1, (24, 3):2]","[(24, 3):2, (21, 2):2]","[(23, 2), (24, 2)]",1,0,1
4,"(24, 3)","(24, 2)",North,"[(24, 4) via North]","[(24, 3):2, (21, 2):2]","[(21, 2):2, (24, 4):3]","[(23, 2), (24, 2), (22, 2)]",2,0,2
5,"(21, 2)","(22, 2)",West,"[(20, 2) via West]","[(21, 2):2, (24, 4):3]","[(24, 4):3, (20, 2):3]","[(23, 2), (24, 2), (22, 2), (24, 3)]",2,0,2
6,"(24, 4)","(24, 3)",North,"[(24, 5) via North]","[(24, 4):3, (20, 2):3]","[(20, 2):3, (24, 5):4]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2)]",3,0,3
7,"(20, 2)","(21, 2)",West,"[(19, 2) via West]","[(20, 2):3, (24, 5):4]","[(24, 5):4, (19, 2):4]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4)]",3,0,3
8,"(24, 5)","(24, 4)",North,"[(24, 6) via North]","[(24, 5):4, (19, 2):4]","[(19, 2):4, (24, 6):5]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2)]",4,0,4
9,"(19, 2)","(20, 2)",West,"[(18, 2) via West]","[(19, 2):4, (24, 6):5]","[(24, 6):5, (18, 2):5]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5)]",4,0,4
10,"(24, 6)","(24, 5)",North,"[(24, 7) via North]","[(24, 6):5, (18, 2):5]","[(18, 2):5, (24, 7):6]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2)]",5,0,5
11,"(18, 2)","(19, 2)",West,"[(17, 2) via West]","[(18, 2):5, (24, 7):6]","[(24, 7):6, (17, 2):6]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6)]",5,0,5
12,"(24, 7)","(24, 6)",North,"[(24, 8) via North]","[(24, 7):6, (17, 2):6]","[(17, 2):6, (24, 8):7]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2)]",6,0,6
13,"(17, 2)","(18, 2)",West,"[(16, 2) via West]","[(17, 2):6, (24, 8):7]","[(24, 8):7, (16, 2):7]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7)]",6,0,6
14,"(24, 8)","(24, 7)",North,"[(24, 9) via North]","[(24, 8):7, (16, 2):7]","[(16, 2):7, (24, 9):8]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2)]",7,0,7
15,"(16, 2)","(17, 2)",West,"[(15, 2) via West]","[(16, 2):7, (24, 9):8]","[(24, 9):8, (15, 2):8]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2), (24, 8)]",7,0,7
16,"(24, 9)","(24, 8)",North,"[(24, 10) via North]","[(24, 9):8, (15, 2):8]","[(15, 2):8, (24, 10):9]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2), (24, 8), (16, 2)]",8,0,8
17,"(15, 2)","(16, 2)",West,"[(14, 2) via West]","[(15, 2):8, (24, 10):9]","[(24, 10):9, (14, 2):9]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2), (24, 8), (16, 2), (24, 9)]",8,0,8
18,"(24, 10)","(24, 9)",North,"[(23, 10) via West]","[(24, 10):9, (14, 2):9]","[(14, 2):9, (23, 10):10]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2), (24, 8), (16, 2), (24, 9), (15, 2)]",9,0,9
19,"(14, 2)","(15, 2)",West,"[(13, 2) via West]","[(14, 2):9, (23, 10):10]","[(23, 10):10, (13, 2):10]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2), (24, 8), (16, 2), (24, 9), (15, 2), (24, 10)]",9,0,9
20,"(23, 10)","(24, 10)",West,"[(22, 10) via West]","[(23, 10):10, (13, 2):10]","[(13, 2):10, (22, 10):11]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2), (24, 8), (16, 2), (24, 9), (15, 2), (24, 10), (14, 2)]",10,0,10
21,"(13, 2)","(14, 2)",West,"[(12, 2) via West]","[(13, 2):10, (22, 10):11]","[(22, 10):11, (12, 2):11]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2), (24, 8), (16, 2), (24, 9), (15, 2), (24, 10), (14, 2), (23, 10)]",10,0,10
22,"(22, 10)","(23, 10)",West,"[(21, 10) via West]","[(22, 10):11, (12, 2):11]","[(12, 2):11, (21, 10):12]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2), (24, 8), (16, 2), (24, 9), (15, 2), (24, 10), (14, 2), (23, 10), (13, 2)]",11,0,11
23,"(12, 2)","(13, 2)",West,"[(11, 2) via West]","[(12, 2):11, (21, 10):12]","[(21, 10):12, (11, 2):12]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2), (24, 8), (16, 2), (24, 9), (15, 2), (24, 10), (14, 2), (23, 10), (13, 2), (22, 10)]",11,0,11
24,"(21, 10)","(22, 10)",West,"[(20, 10) via West]","[(21, 10):12, (11, 2):12]","[(11, 2):12, (20, 10):13]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2), (24, 8), (16, 2), (24, 9), (15, 2), (24, 10), (14, 2), (23, 10), (13, 2), (22, 10), (12, 2)]",12,0,12
25,"(11, 2)","(12, 2)",West,"[(10, 2) via West]","[(11, 2):12, (20, 10):13]","[(20, 10):13, (10, 2):13]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2), (24, 8), (16, 2), (24, 9), (15, 2), (24, 10), (14, 2), (23, 10), (13, 2), (22, 10), (12, 2), (21, 10)]",12,0,12
26,"(20, 10)","(21, 10)",West,"[(19, 10) via West]","[(20, 10):13, (10, 2):13]","[(10, 2):13, (19, 10):14]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2), (24, 8), (16, 2), (24, 9), (15, 2), (24, 10), (14, 2), (23, 10), (13, 2), (22, 10), (12, 2), (21, 10), (11, 2)]",13,0,13
27,"(10, 2)","(11, 2)",West,"[(9, 2) via West]","[(10, 2):13, (19, 10):14]","[(19, 10):14, (9, 2):14]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2), (24, 8), (16, 2), (24, 9), (15, 2), (24, 10), (14, 2), (23, 10), (13, 2), (22, 10), (12, 2), (21, 10), (11, 2), (20, 10)]",13,0,13
28,"(19, 10)","(20, 10)",West,"[(18, 10) via West]","[(19, 10):14, (9, 2):14]","[(9, 2):14, (18, 10):15]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2), (24, 8), (16, 2), (24, 9), (15, 2), (24, 10), (14, 2), (23, 10), (13, 2), (22, 10), (12, 2), (21, 10), (11, 2), (20, 10), (10, 2)]",14,0,14
29,"(9, 2)","(10, 2)",West,"[(8, 2) via West]","[(9, 2):14, (18, 10):15]","[(18, 10):15, (8, 2):15]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2), (24, 8), (16, 2), (24, 9), (15, 2), (24, 10), (14, 2), (23, 10), (13, 2), (22, 10), (12, 2), (21, 10), (11, 2), (20, 10), (10, 2), (19, 10)]",14,0,14
30,"(18, 10)","(19, 10)",West,"[(17, 10) via West]","[(18, 10):15, (8, 2):15]","[(8, 2):15, (17, 10):16]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2), (24, 8), (16, 2), (24, 9), (15, 2), (24, 10), (14, 2), (23, 10), (13, 2), (22, 10), (12, 2), (21, 10), (11, 2), (20, 10), (10, 2), (19, 10), (9, 2)]",15,0,15
31,"(8, 2)","(9, 2)",West,"[(7, 2) via West]","[(8, 2):15, (17, 10):16]","[(17, 10):16, (7, 2):16]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2), (24, 8), (16, 2), (24, 9), (15, 2), (24, 10), (14, 2), (23, 10), (13, 2), (22, 10), (12, 2), (21, 10), (11, 2), (20, 10), (10, 2), (19, 10), (9, 2), (18, 10)]",15,0,15
32,"(17, 10)","(18, 10)",West,"[(16, 10) via West]","[(17, 10):16, (7, 2):16]","[(7, 2):16, (16, 10):17]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2), (24, 8), (16, 2), (24, 9), (15, 2), (24, 10), (14, 2), (23, 10), (13, 2), (22, 10), (12, 2), (21, 10), (11, 2), (20, 10), (10, 2), (19, 10), (9, 2), (18, 10), (8, 2)]",16,0,16
