iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(34, 16)",,,"[(34, 15) via South, (33, 16) via West]","[(34, 16):0]","[(33, 16):8589934592, (34, 15):17179869184]",[],0,0,0
2,"(33, 16)","(34, 16)",West,"[(32, 16) via West]","[(33, 16):8589934592, (34, 15):17179869184]","[(32, 16):12884901888, (34, 15):17179869184]","[(34, 16)]",8589934592,0,8589934592
3,"(32, 16)","(33, 16)",West,"[(31, 16) via West]","[(32, 16):12884901888, (34, 15):17179869184]","[(31, 16):15032385536, (34, 15):17179869184]","[(34, 16), (33, 16)]",12884901888,0,12884901888
4,"(31, 16)","(32, 16)",West,"[(30, 16) via West]","[(31, 16):15032385536, (34, 15):17179869184]","[(30, 16):16106127360, (34, 15):17179869184]","[(34, 16), (33, 16), (32, 16)]",15032385536,0,15032385536
5,"(30, 16)","(31, 16)",West,"[(29, 16) via West]","[(30, 16):16106127360, (34, 15):17179869184]","[(29, 16):16642998272, (34, 15):17179869184]","[(34, 16), (33, 16), (32, 16), (31, 16)]",16106127360,0,16106127360
6,"(29, 16)","(30, 16)",West,"[(28, 16) via West]","[(29, 16):16642998272, (34, 15):17179869184]","[(28, 16):16911433728, (34, 15):17179869184]","[(34, 16), (33, 16), (32, 16), (31, 16), (30, 16)]",16642998272,0,16642998272
7,"(28, 16)","(29, 16)",West,"[(27, 16) via West]","[(28, 16):16911433728, (34, 15):17179869184]","[(27, 16):17045651456, (34, 15):17179869184]","[(34, 16), (33, 16), (32, 16), (31, 16), (30, 16), (29, 16)]",16911433728,0,16911433728
8,"(27, 16)","(28, 16)",West,"[(26, 16) via West]","[(27, 16):17045651456, (34, 15):17179869184]","[(26, 16):17112760320, (34, 15):17179869184]","[(34, 16), (33, 16), (32, 16), (31, 16), (30, 16), (29, 16), (28, 16)]",17045651456,0,17045651456
9,"(26, 16)","(27, 16)",West,"[(25, 16) via West]","[(26, 16):17112760320, (34, 15):17179869184]","[(25, 16):17146314752, (34, 15):17179869184]","[(34, 16), (33, 16), (32, 16), (31, 16), (30, 16), (29, 16), (28, 16), (27, 16)]",17112760320,0,17112760320
10,"(25, 16)","(26, 16)",West,"[(25, 15) via South, (24, 16) via West]","[(25, 16):17146314752, (34, 15):17179869184]","[(24, 16):17163091968, (34, 15):17179869184, (25, 15):17179869184]","[(34, 16), (33, 16), (32, 16), (31, 16), (30, 16), (29, 16), (28, 16), (27, 16), (26, 16)]",17146314752,0,17146314752
11,"(24, 16)","(25, 16)",West,"[(23, 16) via West]","[(24, 16):17163091968, (34, 15):17179869184, (25, 15):17179869184]","[(23, 16):17171480576, (34, 15):17179869184, (25, 15):17179869184]","[(34, 16), (33, 16), (32, 16), (31, 16), (30, 16), (29, 16), (28, 16), (27, 16), (26, 16), (25, 16)]",17163091968,0,17163091968
12,"(23, 16)","(24, 16)",West,"[(22, 16) via West]","[(23, 16):17171480576, (34, 15):17179869184, (25, 15):17179869184]","[(22, 16):17175674880, (34, 15):17179869184, (25, 15):17179869184]","[(34, 16), (33, 16), (32, 16), (31, 16), (30, 16), (29, 16), (28, 16), (27, 16), (26, 16), (25, 16), (24, 16)]",17171480576,0,17171480576
13,"(22, 16)","(23, 16)",West,"[(21, 16) via West]","[(22, 16):17175674880, (34, 15):17179869184, (25, 15):17179869184]","[(21, 16):17177772032, (34, 15):17179869184, (25, 15):17179869184]","[(34, 16), (33, 16), (32, 16), (31, 16), (30, 16), (29, 16), (28, 16), (27, 16), (26, 16), (25, 16), (24, 16), (23, 16)]",17175674880,0,17175674880
14,"(21, 16)","(22, 16)",West,"[(20, 16) via West]","[(21, 16):17177772032, (34, 15):17179869184, (25, 15):17179869184]","[(20, 16):17178820608, (34, 15):17179869184, (25, 15):17179869184]","[(34, 16), (33, 16), (32, 16), (31, 16), (30, 16), (29, 16), (28, 16), (27, 16), (26, 16), (25, 16), (24, 16), (23, 16), (22, 16)]",17177772032,0,17177772032
